age,balance,duration,campaign,previous,default_cat,housing_cat,loan_cat,recent_pdays,deposit_cat,job_blue-collar,job_entrepreneur,job_other,job_pink-collar,job_self-employed,job_technician,job_white-collar,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,poutcome_failure,poutcome_success,poutcome_unknown
59,2343,1042,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
56,45,1467,1,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
41,1270,1389,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
55,2476,579,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
54,184,673,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
42,0,562,2,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
56,830,1201,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
60,545,1030,1,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
37,1,608,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
28,5090,1297,3,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
38,100,786,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
30,309,1574,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
29,199,1689,4,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
46,460,1102,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
31,703,943,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
35,3837,1084,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
32,611,541,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
