Data	Último	Abertura	Máxima	Mínima	Vol.
25.05.2020	19,48	19,48	19,56	19,26	37,58M
22.05.2020	18,67	18,8	18,9	18,35	68,84M
21.05.2020	19,19	19,5	19,77	19,07	80,92M
20.05.2020	19,3	19,09	19,44	19,06	74,12M
19.05.2020	18,68	18,51	18,93	18,41	79,69M
18.05.2020	18,54	18,1	18,54	17,92	116,00M
15.05.2020	17,15	17,99	18,19	17,15	132,87M
14.05.2020	17,4	17,4	17,47	16,72	118,69M
13.05.2020	17,59	18,26	18,35	17,52	86,70M
12.05.2020	18,14	18,53	18,83	18,13	70,45M
11.05.2020	18,15	18,3	18,93	18,11	64,54M
08.05.2020	18,48	17,74	18,58	17,71	82,59M
07.05.2020	17,44	17,75	17,87	17,35	80,91M
06.05.2020	17,28	17,87	18,06	17,28	66,94M
05.05.2020	17,94	17,9	18,48	17,87	74,53M
04.05.2020	17,38	17,43	17,62	17,18	59,67M
30.04.2020	18,05	17,98	18,42	17,7	79,40M
29.04.2020	18,2	17,8	18,48	17,53	94,05M
28.04.2020	17,25	17,04	17,25	16,63	91,14M
27.04.2020	16,45	16,14	16,53	15,78	85,57M
24.04.2020	15,95	16,69	16,79	15,28	160,18M
23.04.2020	16,95	17,2	17,43	16,62	94,32M
22.04.2020	16,75	15,85	16,75	15,78	114,26M
20.04.2020	15,95	15,48	16,33	15,34	132,87M
17.04.2020	16,13	15,75	16,13	15,56	116,22M
16.04.2020	15,72	16,67	16,76	15,53	113,22M
15.04.2020	16,38	16,04	16,47	15,86	86,29M
14.04.2020	16,73	17,02	17,3	16,61	90,49M
13.04.2020	16,93	16,82	17,09	16,33	93,26M
09.04.2020	16,82	17,94	18,69	16,5	184,87M
08.04.2020	17,32	16,5	17,53	16,4	114,58M
07.04.2020	16,4	16,61	17,07	16,34	139,72M
06.04.2020	15,77	16,05	16,1	15,18	122,54M
03.04.2020	15,34	16,3	16,36	14,93	142,01M
02.04.2020	15,51	15,4	16,55	15,01	233,81M
01.04.2020	14,3	13,45	14,55	13,32	113,48M
31.03.2020	13,99	13,6	14,54	13,6	155,31M
