Date;Open;High;Low;Close;Volume
25/05/2020;19.48;19.56;19.26;19.48;3.758.000.000
22/05/2020;18.8;18.9;18.35;18.67;6.884.000.000
21/05/2020;19.5;19.77;19.07;19.19;8.092.000.000
20/05/2020;19.09;19.44;19.06;19.3;7.412.000.000
19/05/2020;18.51;18.93;18.41;18.68;7.969.000.000
18/05/2020;18.1;18.54;17.92;18.54;11.600.000.000
15/05/2020;17.99;18.19;17.15;17.15;13.287.000.000
14/05/2020;17.4;17.47;16.72;17.4;11.869.000.000
13/05/2020;18.26;18.35;17.52;17.59;8.670.000.000
12/05/2020;18.53;18.83;18.13;18.14;7.045.000.000
11/05/2020;18.3;18.93;18.11;18.15;6.454.000.000
08/05/2020;17.74;18.58;17.71;18.48;8.259.000.000
07/05/2020;17.75;17.87;17.35;17.44;8.091.000.000
06/05/2020;17.87;18.06;17.28;17.28;6.694.000.000
05/05/2020;17.9;18.48;17.87;17.94;7.453.000.000
04/05/2020;17.43;17.62;17.18;17.38;5.967.000.000
30/04/2020;17.98;18.42;17.7;18.05;7.940.000.000
29/04/2020;17.8;18.48;17.53;18.2;9.405.000.000
28/04/2020;17.04;17.25;16.63;17.25;9.114.000.000
27/04/2020;16.14;16.53;15.78;16.45;8.557.000.000
24/04/2020;16.69;16.79;15.28;15.95;16.018.000.000
23/04/2020;17.2;17.43;16.62;16.95;9.432.000.000
22/04/2020;15.85;16.75;15.78;16.75;11.426.000.000
20/04/2020;15.48;16.33;15.34;15.95;13.287.000.000
17/04/2020;15.75;16.13;15.56;16.13;11.622.000.000
16/04/2020;16.67;16.76;15.53;15.72;11.322.000.000
15/04/2020;16.04;16.47;15.86;16.38;8.629.000.000
14/04/2020;17.02;17.3;16.61;16.73;9.049.000.000
13/04/2020;16.82;17.09;16.33;16.93;9.326.000.000
09/04/2020;17.94;18.69;16.5;16.82;18.487.000.000
08/04/2020;16.5;17.53;16.4;17.32;11.458.000.000
07/04/2020;16.61;17.07;16.34;16.4;13.972.000.000
06/04/2020;16.05;16.1;15.18;15.77;12.254.000.000
03/04/2020;16.3;16.36;14.93;15.34;14.201.000.000
02/04/2020;15.4;16.55;15.01;15.51;23.381.000.000
01/04/2020;13.45;14.55;13.32;14.3;11.348.000.000
31/03/2020;13.6;14.54;13.6;13.99;15.531.000.000
30/03/2020;13.15;13.74;12.83;13.38;11.053.000.000
