Country,US$,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
" Luxembourg,""113,196"",258642,0.6, 69.453 billion ,"" 113,196 """
"  Switzerland,""83,716"",412852,4.2,704 billion ,""82,950 """
" Macau,""81,151"",11532,73.7, 54.545 billion ,"" 81,728 """
" Norway,""77,975"",3852072,5.7,443 billion ,""82,711 """
" Ireland,""77,771"",702732,2.0, 384.940 billion ,"" 77,771 """
" Qatar,""69,687"",115812,0.8,183.807 billion ,""66,202 """
" Iceland,""67,037"",1027752,2.7,24 billion,""67,037 """
" United States,""65,111"",3796742,6.97, 22.321 trillion ,"" 67,426 """
" Australia,""53,825"",76920242,0.76, 1.375 trillion ,"" 52,952 """
" Netherlands,""52,367"",418652,19.26,914 billion ,""53,016 """
" Sweden,""51,241"",4502952,8.7, 528.929 billion ,"" 51,242 """
" Austria,""50,022"",838792,1.7,477.672 billion ,""53,764 """
" Hong Kong,""49,334"",27552,59.8, 372.989 billion ,"" 49,334 """
" Finland,""48,868"",3384242,10.0,277 billion ,""50,068 """
" San Marino,""47,279"",6122,0.0,1.55 billion ,""44,947 """
" Canada,""46,212"",99846702,8.92, 1.812 trillion ,"" 47,931 """
" Belgium,""45,175"",306892,6.5,533 billion ,""46,724 """
" Israel,""42,823"",20770220722,2.1, 410.501 billion ,"" 44,474 """
" United Kingdom,""41,030"",2424952,1.34, 2.744 trillion ,"" 41,030 """
" New Zealand,""40,634"",2680212,1.6,206 billion,""41,616"""
" Bahamas, The,""33,261"",138782,28.0,12.803 billion ,""34,002 """
" Italy,""32,946"",3013402,2.4, 1.989 trillion ,"" 32,947 """
" Puerto Rico,""31,538"",91042,1.6, 100.169 billion ,"" 32,100 """
" Korea, South,""31,430"",1003632,0.3,1.626 trillion ,""31,246 """
" Malta,""30,650"",3162,0.001,15.134 billion,""32,021"""
" Spain,""29,961"",5059902,1.04, 1.440 trillion ,"" 30,734 """
" Kuwait,""29,266"",178182,0.0,118.271 billion ,""28,199 """
" Brunei,""27,871"",57652,8.6,13.325 billion ,""30,290 """
" Slovenia,""26,170"",202712,0.7,56 billion ,"" 27,452 """
" Aruba,""25,976"",1802,0.0,8.875 billion,""48,750"""
" Bahrain,""25,273"",7802,0.0,41.607 billion ,""27,538 """
" Estonia,""23,523"",452272,4.45,32.742 billion,""24,802 """
" Czech Republic,""23,213"",788662,2.0, 261.732 billion ,"" 24,569 """
" Portugal,""23,030"",922122,0.5, 243.229 billion,"" 23,731"""
" Saudi Arabia,""22,865"",21496902,0.7,779.289 billion ,""23,566 """
" Greece,""19,974"",1319572,0.8669, 222.785 billion ,"" 20,845 """
" Slovakia,""19,547"",490352,0.0789, 111.874 billion ,"" 20,495 """
" Lithuania,""19,266"",653002,1.35,56 billion ,""20,355 """
" Saint Kitts and Nevis,""18,245"",2612,0.0,1.058 billion,""18,714"""
" Latvia,""18,171"",645892,1.57,36.771 billion,""19,105"""
" Antigua and Barbuda,""18,109"",4402,0.0,1.717 billion,""18,416"""
" Barbados,""18,069"",4392,0.0,5.207 billion,""18,133"""
" Oman,""17,791"",3095002,0.0,76.609 billion ,""17,791 """
" Hungary,""17,463"",930302,3.7, 180.498 billion ,"" 18,535  """
" Seychelles,""17,052"",4592,0.0,1.564 billion,""16,332"""
" Uruguay,""17,029"",1762152,1.5,62.917 billion ,""17,819 """
" Palau,""16,736"",4592,0.0,322 million,""17,438"""
" Trinidad and Tobago,""16,365"",51312,0.0,22.438 billion,""16,243"""
" Panama,""16,245"",754172,2.9,73.369 billion ,""17,148 """
" Chile,""15,399"",75609632,1.07, 308.505 billion ,"" 15,854 """
" Croatia,""14,949"",565942,1.09,63.172 billion ,""15,646 """
" Poland,""14,901"",3126962,3.07, 607 billion ,"" 15,988 """
" Romania,""12,482"",2383972,3.0, 261.868 billion ,"" 13,414 """
" Costa Rica,""12,014"",511002,0.7,65.179 billion,""12,690"""
" Grenada,""11,381"",34852,1.6,1.249 billion,""11,518"""
" Mauritius,""11,360"",20402,0.07,14.812 billion ,""11,693 """
" Russia,""11,162"",170982462,13.0, 1.657 trillion ,"" 11,305 """
" Malaysia,""11,136"",3308032,0.3,"" 381.523 billion"
" "","" 11,484 """
" Saint Lucia,""11,075"",6172,1.6,1.774 billion,""10,042"""
" Mexico,""10,118"",19725502,2.5, 1.322 trillion ,"" 10,405 """
" China,""10,098"",95969612,2.8, 15.269 trillion ,"" 10,872 """
" Argentina,""9,887"",27804002,1.57,445.469 billion ,""9,887 """
" Lebanon,""9,654"",104522,1.8,58 billion ,""9,655"""
" Bulgaria,""9,518"",11099362,2.16, 70.126 billion ,"" 10,133 """
" Kazakhstan,""9,139"",27249002,1.7, 179.332 billion ,"" 9,686 """
" Turkey,""8,957"",7833562,1.3, 813.810 billion ,"" 9,683 """
" Equatorial Guinea,""8,927"",280502,0.0,12.432 billion,""9,141"""
" Brazil,""8,796"",85157672,0.65, 1.893 trillion ,"" 8,955 """
" Montenegro,""8,703"",138122,2.6,5.685 billion,""9,116 """
" Dominican Republic,""8,629"",486712,0.7,96.291 billion,""9,195 """
" Dominica,""8,380"",7502,1.6,485 million,""6,860"""
" Nauru,""8,270"",212,0.57,114 million,""8,570"""
" Gabon,""8,112"",2676672,3.76,17.212 billion,""8,384"""
" Botswana,""7,859"",5817302,2.7,19.651 billion,""8,263"""
" Turkmenistan,""7,816"",4912102,4.9,42.764 billion,""7,411"""
" Thailand,""7,791"",5131202,0.4,516 billion,""7,607"""
" Saint Vincent and the Grenadines,""7,750"",3892,0.0,864 million,""7,827"""
" Peru,""7,046"",12852162,0.41, 240.175 billion ,"" 7,317 """
" Belarus,""6,603"",2075952,1.4, 63.582 billion ,"" 6,744 """
" Colombia,""6,508"",11417482,8.8,343.177 billion ,""6,744"""
" Fiji,""6,379"",182742,0.0,5.223 billion,""5,876"""
" Suriname,""6,310"",1638212,1.1,4.110 billion,""6,881"""
" South Africa,""6,100"",12210372,0.38, 369.854 billion ,"" 6,193 """
" North Macedonia,""6,096"",257132,1.9,12.383 billion,""6,143"""
" Namibia,""5,842"",8256152,0.0,14.148 billion,""5,923"""
" Bosnia and Herzegovina,""5,741"",511292,1.4,21.023 billion,""6,056"""
" Iraq,""5,738"",4370722,1.1,250.070 billion ,""6,116 """
" Paraguay,""5,692"",4067522,2.3,44.557 billion ,""6,229 """
" Iran,""5,506"",16481952,7.07, 458.500 billion ,"" 5,506 """
" Jamaica,""5,460"",109912,1.5,15.424 billion ,""5,393 """
" Albania,""5,372"",287482,4.7,16.753 billion,""5,847"""
" Guyana,""5,252"",2149702,8.4, 8.065 billion,"" 10,249"""
" Belize,""4,925"",229662,0.8,1.987 billion,""4,890"""
" Tonga,""4,862"",7482,4.0,493 million,""4,888"""
" Azerbaijan,""4,689"",866002,1.6,45.284 billion,""4,498"""
" Guatemala,""4,616"",1088892,0.4,79.109 billion ,""4,582 """
" Armenia,""4,527"",297432,4.71,13.444 billion ,""4,527 """
" Samoa,""4,500"",28422,0.3,881 million,""4,420"""
" Jordan,""4,386"",893422,0.6,41.869 billion ,""4,228 """
